event_index,mrr_real_async,mrr_real_sync,mrr_iid_async,mrr_iid_sync
116,0.12496742340885755,0.41965570473365765,0.42689409729817945,0.42852752193611154
117,0.12483810015666316,0.4198072464877811,0.42689981836680096,0.4290965960771113
118,0.12486800023507158,0.4196839310289035,0.42739712420608833,0.43064776498738666
119,0.12473917708583948,0.419702987294803,0.4284953222606144,0.4298089521274651
120,0.12490895721548732,0.41972255351968923,0.4293857863466234,0.42996000716922883
121,0.1254493758365579,0.41946661542230046,0.4299088389835631,0.4300055324652059
122,0.12545092510815944,0.41917561085624794,0.4303540625863588,0.42953471967819795
123,0.12588519536144163,0.4192711218120308,0.43048258466193495,0.43006340939355486
124,0.12604359653792566,0.4195532847723594,0.4306425745126127,0.43011280296076665
125,0.12660135784471468,0.41931568949266573,0.4306196418583274,0.43004940084932897
126,0.12675272988438355,0.41941945771447786,0.43057381207776513,0.430506779538701
127,0.12686125833813244,0.41916705419750566,0.43044479324015655,0.42923212053265647
128,0.1270520627039102,0.4191413630457447,0.43084445975937136,0.43071351540595676
129,0.12796861525554595,0.4198330970604289,0.43040814538182376,0.4304985938772642
130,0.12796849299467736,0.41902677792955,0.43076602101383565,0.43064906204326986
131,0.14454910143843444,0.4191168112307675,0.43133290648681294,0.4300877139173693
132,0.23495174239115207,0.41933493428529567,0.4310587994849771,0.42861654422097195
133,0.237356979571254,0.4195803709185999,0.4311230876345944,0.42855914531446115
134,0.30790329715592907,0.4190802407461681,0.4299695046202807,0.4287953109617831
135,0.3078986583305102,0.4189393408067992,0.42952597116704777,0.42876161569843285
136,0.30882810268176436,0.4190460637826764,0.4291305742617785,0.4284090905685879
137,0.35319121800802006,0.41926196267935545,0.4293697735071888,0.4284563469281543
138,0.35182835407647167,0.4191981769103829,0.4294054421892145,0.42912480936169883
139,0.35144666628135174,0.41906849309049743,0.4294561130965303,0.42939100491522886
140,0.3891757715506401,0.41899645345117437,0.42935471705856976,0.4277459144867591
141,0.39714806329133173,0.4194312058971097,0.4283867173450825,0.4251586372147817
142,0.40679891425076,0.4188646059154119,0.42716531708790945,0.4238451055872565
